SID,SEASON,NAME,ISO_TIME,NATURE,LAT,LON,WMO_PRES,qid,year,month
2004086S29318,2004,UNNAMED,2004-03-25 18:00:00,SS,-28.6,-41.8,1000.0,33260,2004,3
2004086S29318,2004,UNNAMED,2004-03-25 21:00:00,SS,-28.7,-42.2,,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 00:00:00,TS,-28.7,-42.5,1000.0,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 03:00:00,TS,-28.7,-42.8,,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 06:00:00,TS,-28.7,-43.0,994.0,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 09:00:00,TS,-28.7,-43.3,,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 12:00:00,TS,-28.8,-43.7,987.0,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 15:00:00,TS,-28.8,-44.0,,33261,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 18:00:00,TS,-28.9,-44.3,984.0,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-26 21:00:00,TS,-29.0,-44.6,,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 00:00:00,TS,-29.1,-44.9,984.0,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 03:00:00,TS,-29.2,-45.2,,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 06:00:00,TS,-29.3,-45.6,981.0,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 09:00:00,TS,-29.4,-46.0,,33256,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 12:00:00,TS,-29.5,-46.4,981.0,33257,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 15:00:00,TS,-29.6,-46.9,,33257,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 18:00:00,TS,-29.6,-47.4,981.0,33257,2004,3
2004086S29318,2004,UNNAMED,2004-03-27 21:00:00,TS,-29.5,-47.9,,33257,2004,3
2004086S29318,2004,UNNAMED,2004-03-28 00:00:00,TS,-29.3,-48.4,981.0,33212,2004,3
2004086S29318,2004,UNNAMED,2004-03-28 03:00:00,TS,-29.2,-49.0,,33212,2004,3
2004086S29318,2004,UNNAMED,2004-03-28 06:00:00,TS,-29.0,-49.6,981.0,33212,2004,3
2004086S29318,2004,UNNAMED,2004-03-28 09:00:00,TS,-28.8,-49.9,,33212,2004,3
2004086S29318,2004,UNNAMED,2004-03-28 12:00:00,TS,-28.5,-50.1,997.0,33213,2004,3
2010067S25317,2010,UNNAMED,2010-03-08 00:00:00,DS,-25.2,-42.6,1000.0,33249,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 03:00:00,DS,-25.6,-42.6,,33249,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 06:00:00,DS,-26.0,-42.6,1005.0,33249,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 09:00:00,DS,-26.6,-42.5,,33250,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 12:00:00,DS,-27.3,-42.6,1005.0,33250,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 15:00:00,DS,-28.3,-43.4,,33261,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 18:00:00,DS,-29.3,-44.3,1005.0,33256,2010,3
2010067S25317,2010,UNNAMED,2010-03-08 21:00:00,DS,-29.8,-44.9,,33256,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 00:00:00,DS,-30.0,-45.5,1005.0,33256,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 03:00:00,DS,-30.2,-46.0,,33259,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 06:00:00,DS,-30.4,-46.6,1005.0,33258,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 09:00:00,DS,-30.5,-47.5,,33258,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 12:00:00,DS,-30.5,-48.2,1005.0,33215,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 15:00:00,DS,-30.3,-48.4,,33215,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 18:00:00,DS,-30.1,-48.4,1000.0,33215,2010,3
2010067S25317,2010,UNNAMED,2010-03-09 21:00:00,DS,-29.9,-48.3,,33212,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 00:00:00,DS,-29.8,-48.2,1003.0,33212,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 03:00:00,DS,-29.7,-48.1,,33212,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 06:00:00,DS,-29.6,-48.0,1000.0,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 09:00:00,DS,-29.6,-47.8,,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 12:00:00,DS,-29.7,-47.5,1000.0,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 15:00:00,DS,-29.7,-47.1,,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 18:00:00,DS,-29.8,-46.7,1000.0,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-10 21:00:00,DS,-29.8,-46.3,,33257,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 00:00:00,DS,-30.0,-45.8,1000.0,33256,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 03:00:00,DS,-30.4,-45.4,,33259,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 06:00:00,DS,-30.9,-44.9,1000.0,33259,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 09:00:00,DS,-31.4,-44.5,,33259,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 12:00:00,DS,-31.9,-44.0,1000.0,33262,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 15:00:00,DS,-32.4,-43.2,,33297,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 18:00:00,DS,-32.9,-42.3,1000.0,33297,2010,3
2010067S25317,2010,UNNAMED,2010-03-11 21:00:00,DS,-33.2,-41.5,,33296,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 00:00:00,DS,-33.6,-40.5,995.0,33296,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 03:00:00,DS,-34.1,-39.2,,33286,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 06:00:00,DS,-34.8,-37.8,995.0,33287,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 09:00:00,DS,-35.6,-36.4,,33287,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 12:00:00,DS,-36.5,-34.8,995.0,33293,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 15:00:00,DS,-37.3,-33.1,,33292,2010,3
2010067S25317,2010,UNNAMED,2010-03-12 18:00:00,DS,-38.0,-31.3,995.0,33625,2010,3
2011069S20321,2011,UNNAMED,2011-03-09 18:00:00,DS,-19.7,-39.0,1007.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-09 21:00:00,DS,-19.9,-39.1,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 00:00:00,DS,-20.0,-39.1,1009.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 03:00:00,DS,-20.0,-39.1,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 06:00:00,DS,-19.8,-39.1,1008.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 09:00:00,DS,-19.6,-39.0,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 12:00:00,DS,-19.4,-39.0,1009.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 15:00:00,DS,-19.2,-39.0,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 18:00:00,DS,-19.0,-39.0,1007.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-10 21:00:00,DS,-19.1,-39.1,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 00:00:00,DS,-19.2,-39.2,1008.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 03:00:00,DS,-19.3,-39.4,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 06:00:00,DS,-19.3,-39.6,1007.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 09:00:00,DS,-19.4,-39.8,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 12:00:00,DS,-19.4,-39.9,1009.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 15:00:00,DS,-19.5,-39.9,,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 18:00:00,DS,-19.5,-39.9,1006.0,33222,2011,3
2011069S20321,2011,UNNAMED,2011-03-11 21:00:00,DS,-19.3,-40.1,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 00:00:00,DS,-19.1,-40.2,1008.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 03:00:00,DS,-19.1,-40.2,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 06:00:00,DS,-19.3,-40.2,1007.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 09:00:00,DS,-19.4,-40.2,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 12:00:00,DS,-19.6,-40.2,1008.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 15:00:00,DS,-19.8,-40.1,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 18:00:00,DS,-19.9,-40.1,1005.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-12 21:00:00,DS,-20.0,-40.1,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 00:00:00,DS,-20.0,-40.2,1006.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 03:00:00,DS,-20.0,-40.4,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 06:00:00,DS,-20.0,-40.6,1005.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 09:00:00,DS,-20.0,-40.8,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 12:00:00,DS,-20.0,-41.0,1004.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 15:00:00,DS,-20.0,-40.9,,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 18:00:00,DS,-20.0,-40.8,1001.0,33235,2011,3
2011069S20321,2011,UNNAMED,2011-03-13 21:00:00,DS,-20.1,-40.8,,33244,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 00:00:00,DS,-20.4,-40.8,1001.0,33244,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 03:00:00,DS,-21.0,-40.8,,33244,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 06:00:00,DS,-21.6,-40.8,1002.0,33244,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 09:00:00,DS,-22.1,-40.8,,33247,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 12:00:00,DS,-22.4,-40.7,1003.0,33247,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 15:00:00,DS,-22.5,-40.5,,33247,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 18:00:00,DS,-22.7,-40.2,1000.0,33247,2011,3
2011069S20321,2011,UNNAMED,2011-03-14 21:00:00,DS,-23.1,-39.5,,33226,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 00:00:00,DS,-23.6,-38.8,1000.0,33226,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 03:00:00,DS,-24.0,-38.2,,33226,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 06:00:00,DS,-24.3,-37.7,1002.0,33268,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 09:00:00,DS,-24.6,-37.4,,33268,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 12:00:00,DS,-24.8,-37.2,1002.0,33268,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 15:00:00,DS,-24.9,-36.9,,33268,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 18:00:00,DS,-25.0,-36.5,1000.0,33268,2011,3
2011069S20321,2011,UNNAMED,2011-03-15 21:00:00,DS,-25.1,-35.6,,33265,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 00:00:00,DS,-25.2,-34.7,998.0,33265,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 03:00:00,DS,-25.4,-34.1,,33265,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 06:00:00,DS,-25.6,-33.5,993.0,33264,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 09:00:00,DS,-25.8,-32.8,,33264,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 12:00:00,DS,-25.8,-32.0,989.0,32933,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 15:00:00,DS,-25.7,-31.2,,32933,2011,3
2011069S20321,2011,UNNAMED,2011-03-16 18:00:00,DS,-25.4,-30.5,989.0,32933,2011,3
